RA,Dec,help_id,status
35.28232,-4.149,HELP_J022107.733-040856.833,--------------------------------------------------
35.28037,-4.14839,HELP_J022107.328-040854.215,--------------------------------------------------
36.59817,-4.56164,HELP_J022623.571-043342.121,--------------------------------------------------
36.71948,-3.96377,HELP_J022652.716-035749.691,--------------------------------------------------
35.73369,-5.62305,HELP_J022256.064-053723.557,--------------------------------------------------
36.10986,-4.45889,HELP_J022426.349-042732.798,--------------------------------------------------
36.65871,-4.14628,HELP_J022638.064-040846.730,--------------------------------------------------
33.711,-4.17344,HELP_J021450.662-041024.421,--------------------------------------------------
35.95578,-5.08144,HELP_J022349.365-050453.753,--------------------------------------------------
36.15258,-5.1025,HELP_J022436.640-050609.044,--------------------------------------------------
36.9684,-5.02193,HELP_J022752.461-050119.031,--------------------------------------------------
35.92307,-4.73225,HELP_J022341.543-044356.619,--------------------------------------------------
